Length,Boat,Year,PriceUSD,Type,Use,NofE,Fuel,Hull
148,Perini Navi Cutter Sloop ,2006,21812000,S,U,S,D,ST
148,Perini Navi Perini 45 mt ,2006,21812000,S,U,S,D,ST
146,Sensation Yachts147ft ... ,1997,9500000,S,U,S,G,CP
143,Barcos DeportivosCruis... ,2003,16140880,S,U,S,D,AL
137,Danish YachtCruising/R... ,2004,17500000,S,U,S,D,ST
137,Holland Jachtbouw ,2005,9908880,S,U,S,D,AL
136,Danish YachtsRacer/Cru... ,2004,9000000,S,U,S,D,ST
133,William Fife IiiGaff R... ,1931,7478400,S,U,S,D,W
132,Dubois 40.30 ,2000,6668240,S,U,S,D,AL
131,Concorde ,1992,2617440,S,U,S,D,FG
125,Palmer Johnson ,1991,5850000,S,U,T,D,AL
123,Custom Build Gulet ,2004,2866720,S,U,T,D,W
121,William Fife JuniorTwo... ,2003,2492800,S,U,S,D,W
118,Maxi Dolphin 118' Sloop ,2001,6979840,S,U,T,D,FG
116,Cnb ,2005,5551200,S,U,S,D,O
114,35 M Steel Ken Freivok... ,2008,3116000,S,N,T,D,ST
114,Bluepearl ,2011,9995000,S,N,S,D,CP
114,Heli Yachts ,1998,3116000,S,U,S,D,ST
112,Nautor Swan 112 RS ,2002,6543600,S,U,S,D,CP
112,Nautor Swan 112 ,1999,6107360,S,U,S,D,O
111,J.o.m. Dykstra 110 ,2011,6855200,S,U,S,D,AL
110,Aeroyacht ,2013,21108840,S,N,T,D,CP
110,Alloy Yachts Fast cruiser ,1993,5982720,S,U,S,D,AL
110,Dynamique ,1996,1620320,S,U,T,D,FG
108,Lidingoverken ,1949,2430480,S,U,T,D,ST
108,Vintage Classic ,1949,2430480,S,U,T,D,ST
106,Nedship107 MARC LOMBAR... ,1998,3250000,S,U,S,D,CP
105,William FifeGaff-rigge... ,2003,2492800,S,U,S,D,ST
104,Gulet Ketch Custom Ketch ,2006,1034512,S,U,T,D,W
104,Jongert 3200P ,2015,13585760,S,N,S,D,AL
104,Wally Yachts ,1998,4736320,S,U,S,D,CP
104,William Fife IiiGaff R... ,2004,2492800,S,U,S,D,ST
102,William Fife Gaff Schooner ,2004,3116000,S,U,S,D,ST
101,101 Cruiser ,2013,8101600,S,N,S,D,CP
101,N2a Ketch 101' -FEB 2009 ,1993,2900000,S,U,S,D,AL
100,A Custom Cruise / Race ,1996,550000,S,U,S,D,CP
100,Certified CharterMega-... ,1996,549000,S,U,S,D,CP
100,Custom CRUISE / RACER ,1996,695000,S,U,S,D,FG
100,Custom Mega SloopPerfo... ,1996,695000,S,U,S,D,CP
100,Custom SloopCruising R... ,1996,549000,S,U,S,D,FG
100,Nautor Swan 100-103 ,2006,10906000,S,U,S,D,CP
98,Westerly Storm 33 ,1989,54656,S,U,S,D,FG
97,Cim MAXI 88 ,1992,1177848,S,U,S,D,CP
96,Green Marine / Reichel... ,2000,3116000,S,U,S,D,CP
95,Baglietto Marconi Ketch ,1928,1300000,S,U,S,D,W
95,Cookson 95Performance ... ,1998,3600000,S,U,S,D,FG
95,Sailing 95` Ketch ,2003,1245154,S,U,S,D,CP
95,Steel Cruiser Racer 29... ,1988,860016,S,U,S,D,ST
91,Maxi 78 ,1984,243048,S,U,S,D,AL
90,2009 Swan 90S ,2009,7852320,S,U,S,D,O
90,Mag Sloop ,1993,2368160,S,U,S,D,AL
90,Maxi Dolphin MD90 ,2013,9192200,S,N,S,D,O
90,Nautor Swan 90 S ,2009,7727680,S,U,S,D,O
90,Nautor Swan 90-707 S ,2009,7852320,S,U,S,D,CP
90,Nautor's Swan 90 ,2010,6481280,S,U,S,D,FG
89,Uldb Macgregor 83 S/710027 ,1998,934800,S,U,S,D,O
88,Abeking & RasmussenUnk... ,1912,2950000,S,U,S,D,W
88,Sangermani Sloop 27 m ,1955,747840,S,U,S,D,W
88,Trehard Maxi ,1982,1433360,S,U,S,D,AL
87,Maxi ,1992,1177848,S,U,S,D,FG
86,Cnb Frers 87 ,1990,1558000,S,U,S,D,AL
85,Aeroyacht ,2013,10480000,S,N,T,D,CP
85,Custom Performance Cruiser ,2007,5608800,S,U,S,D,CP
85,Gamelin / Fr SLOOP ALU 86' ,2001,860016,S,U,S,D,AL
85,Latini Marine Farr 85 ,2005,3502384,S,U,S,D,CP
85,Marstrand Yachts85 Cla... ,2011,4798640,S,N,S,D,CP
85,Oyster SchoonerPasseng... ,1923,395000,S,U,S,D,W
84,Cantieri Latini RomaFa... ,2005,3116000,S,U,S,D,CP
84,Fred Preissclassic MA... ,1979,436240,S,U,S,D,W
84,Mag 90 ,1993,1495680,S,U,S,D,AL
83,Baltic 83 ,1987,1994240,S,U,S,D,FG
83,Huisman84' Custom Frer... ,1992,1744960,S,U,S,D,AL
83,Van De Stadt 84 ,2005,1838440,S,U,S,D,AL
82,Alia Yachts82LK by War... ,2010,4950000,S,U,S,D,CP
82,Alia Yachts82LK by War... ,2012,4700000,S,U,S,D,CP
82,Bloemsma & Van Breemen... ,2002,2804400,S,U,S,D,AL
82,Carbon Ocean YachtsUnk... ,2014,8537840,S,U,S,D,O
82,Carbon Ocean YachtsUnk... ,2010,6792880,S,U,S,D,O
82,Custom Spirit of Tradition ,2000,2118880,S,U,S,D,AL
82,Nautor Swan 80-101 ,2010,7353760,S,U,O,O,CP
82,Nautors Swan 82S ,2009,5297200,S,U,S,D,CP
82,Palmer Johnson 82 Maxi ,1982,500000,S,U,S,D,AL
82,Vallicelli Custom 80 ,1995,799900,S,U,S,D,AL
81,Alia Yachts ,2011,4700000,S,U,S,D,CP
81,Britt BrothersSchooner... ,1938,1371040,S,U,S,D,W
81,Carbon Fibre Masted Sloop ,1994,532219,S,U,S,D,AL
81,Cavalier 81 ,1994,1007110,S,U,T,D,ST
81,Nautor Swan 80-003 ,2000,3053680,S,U,S,D,FG
81,Nautor Swan 80-007 ,2001,2991360,S,U,S,D,CP
81,Nautor Swan 82 ,2006,6169680,S,U,S,D,FG
81,Nautor Swan 82-103 ,2005,4050800,S,U,S,D,CP
81,Nautor Swan 82-107 ,2012,7229120,S,U,S,D,FG
81,Nautor Swan 82RS ,2000,2860488,S,U,S,D,FG
81,Nautor's Swan 82 ,2001,2991360,S,U,S,D,CP
81,Rob HumphreysMaxi - Ro... ,1989,325000,S,U,S,D,CP
81,S&S Custom 81 ,1995,467400,S,U,S,D,CP
81,Swan82 Custom w/ 52ft ... ,2008,5608800,S,U,S,D,CP
80,Advanced Yachts A80 ,2014,5982720,S,N,S,D,CP
80,Barcos Deportivos ,2005,3091072,S,U,S,D,FG
80,Casinelli Spa Custom 80 ,1995,799000,S,U,S,D,AL
80,Cooke 80 ,1985,1382927,S,U,S,D,FG
80,Southern Ocean Shipyar... ,1995,999000,S,U,S,D,FG
79,Baltic Maxi 80 ,1982,510413,S,U,S,D,FG
79,Barcos Deportivos Frer... ,2005,3365280,S,U,S,D,CP
79,Grand MistralMaxi One ... ,1996,311600,S,U,S,D,CP
79,Jongert 2400M ,2006,4860960,S,U,S,D,AL
79,McconaghyR/P 79?... ,1995,1246400,S,U,S,D,CP
79,Nordsee 82 ,1991,1184080,S,U,T,D,AL
79,Palmer And JohnsonMaxi... ,1981,292904,S,U,S,D,AL
79,SeawaySHIPMAN 80 Carbo... ,2013,4860960,S,N,S,D,O
79,Sweden Yachts80 Custom... ,2010,3676880,S,N,S,D,CP
79,Vismara 78 ,2003,1994240,S,U,S,D,O
78,Adria Sail SLOOP ,2006,2742080,S,U,S,D,CP
78,Baltic 83 ,1987,1994240,S,U,S,D,FG
78,Cantiere Valdettaro78'... ,2000,1495680,S,U,S,D,CP
78,Cn Yacht 2000 Sloop 78 ,2009,3926250,S,U,S,D,CP
78,Seaway Shipman 80 ,2009,3643250,S,U,S,D,CP
78,Shipman 80 ,2008,3053680,S,U,S,D,CP
78,Southern Wind SW 78 ,2001,2804400,S,U,S,D,CP
78,Vaudrey Miller79ft Per... ,2005,3053680,S,U,S,D,CP
78,Vismara V78 ,2003,1994240,S,U,S,D,CP
78,Wally ,2004,2866720,S,U,S,D,CP
78,Wally WALLY 80.4 ,2006,4050800,S,U,S,D,CP
78,Wally Yachts (Wally 80) ,2006,3739200,S,U,S,D,CP
77,Custom Sloop ,1990,934800,S,U,S,D,ST
77,Maxi Idea ,2001,420850,S,U,S,D,CP
77,Nautor Swan 77 ,1993,1863368,S,U,S,D,FG
77,Nautor Swan 77-010 ,2003,2742080,S,U,S,D,CP
77,Nautor Swan 80S ,2012,7929375,S,U,S,D,CP
77,Nautor Swan Swan 77 ,2004,2742080,S,U,S,D,FG
77,Nautor's Swan 77 ,1992,1775000,S,U,S,D,FG
77,Schooner ,2008,1152920,S,U,S,D,ST
76,Nautor Swan 75-002 FD ,2005,3116000,S,U,S,D,CP
76,Nautor Swan Silandra V ,2006,3614560,S,U,T,D,FG
76,Nautor's SwanCustom 76... ,2006,3614560,S,U,S,D,CP
75,Albaran Pilothouse 19m ,1985,1150000,S,U,S,D,AL
75,Alucat75 - Alumarine c... ,1990,984656,S,U,T,D,AL
75,Cnb 76 ft Cruiser / Racer ,1993,810160,S,U,S,D,AL
75,Jack Laurent GilesBerm... ,1959,1495680,S,U,S,D,W
75,Marstrand Yachts75 Cla... ,2011,3427600,S,N,S,D,CP
75,PhoenixOCEAN PHO... ,1996,741608,S,U,S,D,FG
75,Swan 75 ,2005,4300080,S,U,S,D,FG
75,Trintella 75 ,1992,999999,S,U,S,D,AL
74,Jongert 2200 ,2006,4362400,S,U,S,D,AL
74,Southern Ocean Shipyar... ,1974,623200,S,U,S,D,FG
73,Baltic Yachts 73 Custom ,1999,2742080,S,U,S,D,CP
73,German Frers Custom sloop ,1987,850000,S,U,S,D,AL
73,Nautor Swan 75RS ,2005,4300080,S,U,S,D,FG
73,Yachting Dynamics Ketch ,1963,872480,S,U,S,D,AL
72,Aluminium Bruce Clarke... ,1987,852170,S,U,S,D,AL
72,Ccyd & Griggio Srl.Cru... ,1985,623200,S,U,S,D,AL
72,Charles E Nicholson Ketch ,1924,2500000,S,U,S,D,W
72,Clark By K&S Yachtscla... ,1987,813435,S,U,S,D,AL
72,Cn Yacht 2000 Felci 71 ,2008,1869600,S,U,S,D,CP
72,Cn Yacht 2000Vallicell... ,2005,610736,S,U,S,D,CP
72,Forbes Ketch S/711036 ,1921,673056,S,U,T,D,W
72,Herreshoff / Cat Ketch... ,1988,616968,S,U,S,D,W
72,Jongert 2200M ,2006,4362400,S,U,S,D,AL
72,K&S Racer/Cruiser 72 ,1987,774700,S,U,S,D,AL
72,Marten 72 ,2005,2118880,S,U,S,D,CP
72,Marten Marine 72 ,2004,2118880,S,U,S,D,CP
72,Pouvreau 72 center cokpit ,1986,685520,S,U,O,O,AL
72,Sangermani Cutter ,1971,747840,S,U,S,D,W
72,Se.ri.gi Solaris 72 ,2001,1682640,S,U,S,D,FG
72,Southern - Cape TownSO... ,1994,860016,S,U,S,D,FG
72,Southern Wind 72 ,2001,1807280,S,U,S,D,CP
72,Southern Wind Farr 72 ,1994,860016,S,U,S,D,CP
72,Southern Wind Shipyard... ,1991,495000,S,U,S,D,FG
72,Sparkman & StephensCCA... ,1938,895000,S,U,S,D,W
71,Southern Wind Farr 72 ,1994,984656,S,U,S,D,FG
71,Yacht 2000 Vallicelli 70 ,2005,610736,S,U,S,D,CP
70,Americas Cup Challenge... ,1958,18846,S,U,S,D,W
70,Cn Yacht 2000Vallicell... ,2005,617890,S,U,S,D,CP
70,Cnb 70 ,1995,1059440,S,U,S,D,AL
70,Felci Yacht Design71' ... ,2006,2243520,S,U,S,D,CP
70,Goetz IRC 70 ,2004,1869600,S,U,S,D,CP
70,Goetz Custom Boat UsaF... ,2004,1620320,S,U,S,D,CP
70,Hylas Hull 10 RS ,2011,1995000,S,U,S,D,FG
70,Lyons 70High Performan... ,1996,719900,S,U,T,D,AL
70,Nauta FARR 70 ,1991,550000,S,U,S,D,FG
70,Nauta Farr Nauta 70 ,1991,550000,S,U,S,D,CP
70,Nauta Yachts NAUTA 70 ,1991,550000,S,U,S,D,CP
70,Nauta Yachts (by Cnb F... ,1992,1221472,S,U,S,D,CP
70,Nautor Swan 70-001 ,2001,2368160,S,U,S,D,CP
70,Nautor Swan 70-005 ,2002,2492800,S,U,S,D,CP
70,NordiaPerformance Sloo... ,2011,3676880,S,U,S,D,AL
70,North Wind 72 ,2007,1857136,S,U,O,O,FG
70,Olin Stephens 12 Meter ,1939,1744960,S,U,S,D,W
70,Oyster 70 ,1997,1256400,S,U,S,D,FG
70,Puma Yacht CUBIC 70 ,2002,679288,S,U,S,D,FG
70,Puma Yachts Cubic 70 ,2002,560880,S,U,S,D,FG
70,Sharp Marine Ltd UsaPi... ,1999,349000,S,U,S,D,FG
70,Steel Schooner 70 ,1946,105224,S,U,S,D,ST
70,William Fife Yawl ,1936,3116000,S,U,S,D,W
70,Wylie/schooner CreekUn... ,1993,299000,S,U,S,D,CP
69,Baltic 65 Stig ,2010,2492800,S,U,S,D,CP
69,Baltic Yachts Baltic 66 ,2007,3116000,S,U,S,D,CP
69,Bodrum Gulet 21m ,1989,243048,S,U,S,D,W
69,Bruno Veronese Ketch ,1964,236816,S,U,S,D,W
69,Hoek Modern Classic 70 ,2003,1726264,S,U,S,D,AL
69,Hoek DesignSemi-classi... ,2003,1726264,S,U,S,D,AL
69,Marstrand Yachts68 Cla... ,2012,2555120,S,N,S,D,CP
69,Mccurdy & Rhodes 69' Sloop ,1989,749000,S,U,S,D,FG
69,Nautor Swan 68-018 ,1997,1620320,S,U,S,D,FG
69,Stephens Waring And Wh... ,2011,2250000,S,U,S,D,W
68,Bakewell WhitePocket M... ,2003,747840,S,U,S,D,CP
68,Cn Yachts VALLICELLI 70 ,2005,610736,S,U,S,D,CP
68,Deerfoot ,1980,350000,S,U,S,D,FG
68,GarciaPerformance Cutt... ,1997,722912,S,U,S,D,AL
68,James E. Graves 12 Metre ,1962,500000,S,U,S,D,W
68,Jongert 2100s ,1991,1184080,S,U,S,D,AL
68,Nautor Swan 68 ,1993,1177875,S,U,S,D,FG
68,Nautor's Swan Swan 68/71 ,1992,984656,S,U,S,D,FG
68,Navali Navcantieri ,2004,2679760,S,U,S,D,FG
68,Oyster 68 ,1991,469580,S,U,S,D,FG
68,Oyster HP68 ,1994,408330,S,U,S,D,FG
68,Prototipo 21m ,1984,311600,S,U,S,D,AL
67,Baltic 66 ,2007,3552240,S,U,S,D,FG
67,Baltic 66 ,2007,3116000,S,U,S,D,CP
67,Baltic 66,2007,3552240,S,U,S,D,CP
67,CenmarineSimonis 67 Fa... ,1989,616968,S,U,S,D,AL
67,Farr Fast Ocean Cruiser ,2003,2305840,S,U,S,D,CP
67,Marten Yachts NzFarr S... ,2003,1826280,S,U,S,D,O
67,Martin Francis 65-68 ,1984,324064,S,U,S,D,AL
67,MultiplastTri 60' ex. ... ,1994,205656,S,U,S,D,CP
67,North Wind 68 ,2005,995000,S,U,S,D,FG
67,Oyster 655 ,2007,2355750,S,U,S,D,FG
67,Oyster 655 ,2007,2277225,S,U,S,D,FG
66,Advanced Yachts A66 ,2014,3053680,S,N,S,D,CP
66,Cantiere Del PardoGran... ,1996,610736,S,U,S,D,FG
66,Cantieri Del PardoGran... ,2002,810160,S,U,S,D,FG
66,Cesare SangermaniSaili... ,1990,872480,S,U,S,D,W
66,Custom Build Gulet / Ketch ,1987,211888,S,U,T,D,W
66,David Lyons Custom 66 ,1996,699000,S,U,T,D,AL
66,German Frers Aluminium... ,1982,243048,S,U,S,D,AL
66,Grand Soleil Maxi One ,1996,610736,S,U,S,D,FG
66,Leguen Hemidy67ft Cutt... ,1991,486096,S,U,S,D,AL
66,Mag (france) Gilles Vaton ,1985,473632,S,U,S,D,AL
66,Maxi 67 Pocket ,2004,997120,S,U,S,D,CP
66,Nautor Swan 66 FD ,2008,2804400,S,U,S,D,FG
66,Swan 651 ,1990,997120,S,U,S,D,FG
66,Van De Stadt 65 ,1992,679288,S,U,S,D,FG
65,Bestevaer 65 s ,2004,972192,S,U,S,D,AL
65,Comar Comet 65 ,2000,573344,S,U,S,G,FG
65,Dolphin BoatsMAXI DOLP... ,2004,1869600,S,U,S,G,FG
65,Hh Catamarans HH66 ,2015,3400000,S,N,S,D,CP
65,Hoek 65 Performance ,2002,860016,S,U,S,D,W
65,Hoek DesignTruly Class... ,2001,1832208,S,U,S,D,AL
65,J Boats J 65 ,2006,1499000,S,U,S,D,FG
65,Macgregor 65 ,1990,197599,S,U,S,D,FG
65,Macgregor 65 ,1990,139000,S,U,S,D,FG
65,Macgregor 65 Bargain ,1984,109000,S,U,S,D,FG
65,Maxi Dolphin 65,2003,1371040,S,U,S,D,CP
65,Maxi Dolphin 65,2003,1221472,S,U,S,D,CP
65,Maxi Dolphin 65 ,2004,1744960,S,U,S,D,CP
65,Maxi Dolphin 65 ,2003,1371040,S,U,S,D,O
65,Maxi Dolphin 65 ,2004,1221472,S,U,S,D,CP
65,Maxi Dolphin 65 ,2006,990888,S,U,S,D,CP
65,Mc Gregor Mc Gregor 65 ,1991,198178,S,U,S,D,FG
65,Nautor SWAN 65 ,1977,675000,S,U,S,D,FG
65,Nautor SWAN 65 ,1980,684255,S,U,S,D,FG
65,Nautor's Swan 62 FD ,2003,1302525,S,U,S,D,FG
65,Nautor's Swan 62 FD ,2003,1308510,S,U,S,D,FG
65,Plym Custom Cruising Yawl ,1953,380000,S,U,S,D,W
65,Robert Clark Ketch ,1957,450000,S,U,O,O,CP
65,Swan 651 ,1982,560880,S,U,S,D,FG
65,X-Yachts X 65 ,2010,1296750,S,U,S,D,FG
64,12 MetreAmerica's Cup ... ,1976,560880,S,U,S,D,W
80,80ft Herreshoff Schooner ,1938,1371040,S,U,S,D,W
64,Carpenter65?wood... ,1990,1059440,S,U,S,D,W
64,Catarina Yachts Pilot 65 ,2011,1607856,S,U,S,D,CP
64,Cn Yacht 2000 VR 65' ,2003,542184,S,U,S,D,FG
64,Grand 65 ,2007,535952,S,U,S,D,ST
64,Grand Soleil Maxi OneS,1994,598272,S,U,S,D,FG
64,Grand Soleil Maxi OneS,1995,616968,S,U,S,D,FG
64,Herreshoff Mistral ,1938,1371040,S,U,S,D,W
64,Jeanneau 64 Yacht ,2015,1115800,S,N,S,D,CP
64,Macgregor 65 ,1991,198178,S,U,S,D,FG
64,Nautic Saintongue 65 ,1978,997120,S,U,T,D,FG
64,Nautor Swan 60-027 ,2003,1308720,S,U,S,D,FG
64,Nautor Swan 65-007 ,1973,685520,S,U,S,D,FG
64,Nautor Swan 65-009 ,1974,461168,S,U,S,D,FG
64,Nautor Swan 62 RS ,2003,933554,S,U,S,D,CP
64,Nautor Swan 65 ,1973,367688,S,U,S,D,FG
64,Pilot Yacht Tripp 65 ,2011,1607856,S,N,S,D,CP
64,Seaway Shipman 63 ,2009,1738728,S,U,S,D,CP
64,Nautor Swan 65 ,1973,677325,S,U,S,D,FG
64,Tayana Deck Salon AC ,2014,1300000,S,N,S,D,FG
63,Baltic 64 ,1991,1308720,S,U,S,D,FG
63,Cookson Boats NzVolvo ... ,1992,274208,S,U,S,G,CP
63,Dunning Perfomance Cru... ,2015,1950000,S,N,S,D,CP
63,Franchini 63 S ,2007,1495680,S,U,S,D,FG
63,Hanse 630 E ,2010,934800,S,U,S,D,CP
63,Hoek 1950 / TC64 ,1995,1103064,S,U,S,D,CP
63,KanterBOUGAINVILLIA PI... ,2001,599000,S,U,S,D,AL
63,Little Harbor ,1989,1100000,S,U,S,D,FG
63,Seaway Group Shipman 63 ,2006,1371040,S,U,S,D,CP
63,Shipman 63 ,2015,1994240,S,N,S,D,O
63,Volvo 60 ,1997,180026,S,U,S,D,O
62,Aiken 62 ,2004,1994240,S,N,S,D,CP
62,Bordo Yachts FRERS B-61 ,2015,1109296,S,N,O,O,CP
62,Carpenter Custom Yacht... ,1992,900000,S,U,S,D,W
62,Classic Cutter Modern ,1998,598272,S,U,S,D,W
62,Hanse 630 ,2014,995874,S,N,S,D,CP
62,Hanse 630e ,2011,1458288,S,U,S,D,CP
62,Hanse 630e ,2007,997120,S,U,S,D,CP
62,Hanse 630e ,2008,735376,S,U,S,D,FG
62,Hanse 630e ,2007,679288,S,U,S,D,CP
62,Hanse 630e ,2007,673056,S,U,S,D,CP
62,Hanse 630 ,2008,1333648,S,U,S,D,FG
62,Ice Yachts Ice 62 ,2013,1994240,S,U,S,D,FG
62,Ice Yachts Ice 62 ,2013,1857136,S,U,S,D,CP
62,Ice Yachts Ice 62 ,2013,1617827,S,N,S,D,CP
62,J M Soper....,1929,1184080,S,U,S,D,CP
62,Lock Crowther Custom ,1990,616968,S,U,S,D,CP
62,Marine Service Vismara 62 ,2007,997120,S,U,S,D,FG
62,Marsaudon Composite62 ... ,2010,1483216,S,U,S,D,CP
62,Marten ShipyardOwen Cl... ,2003,997120,S,U,S,D,CP
62,Morrelli & Melvin MM 62 ,2013,3490000,S,N,T,D,CP
62,Nautor Swan 60 ,1995,990888,S,U,S,D,FG
62,Nautor Swan 60-012 ,1998,1620320,S,U,S,D,CP
62,Nautor Swan 62 ,2005,2100000,S,U,S,D,FG
62,Nicholas PotterN-Class... ,1938,600000,S,U,S,D,W
62,Salona 60 ,2014,1332339,S,N,S,D,FG
62,Shipman 63 ,2011,2243520,S,U,S,D,FG
62,Shipman 63 ,2008,1620320,S,U,S,D,CP
62,Shipman 63 ,2008,1620320,S,U,S,D,O
62,Shipman 63 ,2008,1620320,S,U,S,D,CP
62,Shipman 63 ,2007,984656,S,U,S,D,CP
62,Solaris 60 ,2010,2430480,S,U,S,D,FG
62,Solaris60 Custom perfo... ,2010,2430480,S,U,S,D,CP
62,Soto 62 ,2006,853784,S,U,S,D,CP
62,Tuzla DIXON 62 ,2005,523488,S,U,S,D,CP
62,Whisstock/seatech SLOOP ,1992,230000,S,U,S,D,AL
61,Cn Yacht 2000 Felci 61' ,2008,1246400,S,U,S,D,CP
61,Cnb BORDEAUX 60 ,2010,1034512,S,U,S,D,FG
61,Hallberg-Rassy62 Scand... ,2005,1177848,S,U,S,D,FG
61,Nautor Swan 61 ,1990,648128,S,U,S,D,FG
61,Nautor's Swan 60-023 ,2001,1246400,S,U,S,D,FG
61,Nautor's Swan 60-905 ,2011,3240640,S,U,S,D,CP
61,Palmer Johnson61' Sail... ,1972,210000,S,U,S,D,AL
61,Serigi Solaris 62 ,1999,872480,S,U,S,D,CP
61,Vismara 62 Lifting Keel ,2008,1028280,S,U,S,D,CP
61,Wauquiez Centurion 61 S ,1994,436240,S,U,S,O,CP
60,Advanced Yachts A60 ,2013,2156272,S,N,S,D,FG
60,Advanced Yachts A60 Race ,2013,2156272,S,N,S,D,CP
60,Atlantic 61 ,1989,274208,S,U,T,D,FG
60,Baltic 61 ,2006,1744960,S,U,S,D,O
60,BerkstresserPerformanc... ,1999,574900,S,U,T,D,FG
60,Bjarne Aas60 ft 12 m ... ,1955,479864,S,U,S,D,W
60,Camper And Nicholson 58 ,1984,285587,S,U,S,D,FG
60,Cnb BORDEAUX 60 ,2009,785232,S,U,S,D,CP
60,Custom Sloop 61 II ,1990,223106,S,U,S,D,FG
60,Cuthberson & CassianC&... ,1975,598272,S,U,S,D,CP
60,Farr CM60 ,1998,299000,S,U,S,D,CP
60,Griffiths ,1989,241399,S,U,S,D,ST
60,Holmens 12 mRC ,1958,810160,S,U,S,D,W
60,Multiplast Orma 60 ,1997,301629,S,U,S,D,FG
60,Nautor Swan 59-015 ,1988,497314,S,U,S,D,FG
60,Nautor Swan 60 ,1996,959728,S,U,S,D,CP
60,Nautor Swan 60 ,1994,497314,S,U,S,D,FG
60,Nautor Swan 60 Regatta ,1996,1200000,S,U,S,D,FG
60,Nautor Swan 60-003 ,1995,1184080,S,U,S,D,CP
60,Nautor Swan 60-004 ,1996,990888,S,U,S,D,CP
60,Nautor Swan 60-011 ,1997,872480,S,U,S,D,CP
60,Nautor Swan 57 ,1980,349000,S,U,S,D,FG
60,Nautor Swan 61 ,1987,623200,S,U,S,D,FG
60,Open 60 IMOCA ,1989,274208,S,U,S,D,CP
60,Salona S60 ,2015,1116151,S,U,O,O,FG
60,Sparkman & Stephens60 ... ,1939,367688,S,U,S,D,W
60,Starkel 60 ,2006,685520,S,U,S,D,W
60,Stella Polare Fiumicin... ,2006,685520,S,U,S,D,W
60,Sundeer 60 ,1995,495000,S,U,S,D,FG
60,Sunreef 60 S ,2006,610736,S,U,S,D,AL
60,Tag 60 XR ,2014,2850000,S,N,S,D,O
60,Trehard Custom 60 ,1986,399000,S,U,S,D,AL
60,Tripp60' Performance C... ,2003,849000,S,U,S,D,CP
60,Vallicelli 60 ,2004,616968,S,U,S,D,CP
60,Vallicelli 60,2004,486096,S,U,S,D,CP
60,Van De Stadt 60' Ketch ,1976,244672,S,U,S,D,AL
60,X-Yachts X-612 ,1996,552155,S,U,S,D,FG
60,X-Yachts X-612 ,1996,523488,S,U,S,D,FG
60,Yacht 2000Felci 61 Fas... ,2007,1620320,S,U,S,D,CP
60,Zeydon60 Performance C... ,2008,1433360,S,U,S,D,CP
59,Atlantic 63 ,1996,181332,S,U,S,D,FG
59,Atlantic 61 S/10919 ,1996,205656,S,U,S,D,FG
59,Atlantic M-60 S/50873 ,1990,243048,S,U,S,D,FG
59,Beneteau Oceanis 58 ,2013,821378,S,N,S,D,FG
59,Beneteau Oceanis 58 ,2012,735376,S,U,S,D,FG
59,Cn Yacht 2000VALLICELL... ,2005,448704,S,U,S,D,FG
59,Imoca Open 60 ,2007,1215240,S,U,S,D,CP
59,Multiplast OURSON RAPIDE ,2009,1057315,S,U,S,D,CP
59,Multiplast Tri 60? ,1988,230584,S,U,S,D,CP
59,Outremer 5X ,2015,1256000,S,N,T,D,CP
59,Sp Systems Tri 60? ,1982,224352,S,U,S,D,CP
59,Sunreef 60S ,2006,610736,S,U,S,D,AL
59,Sunreef 62 ,2005,1059440,S,U,T,D,FG
59,Swan Nautor 59 ,1990,535952,S,U,S,D,FG
59,Van De Stadt 59 ,1995,372674,S,U,S,D,ST
59,Westerly Marine Perry 59 ,2005,1400000,S,U,S,D,CP
58,Abeking & Rasmussen10m... ,1927,342760,S,U,S,D,W
58,Beneteau 57 ,2006,461168,S,U,S,G,FG
58,Beneteau Oceanis 58 ,2010,560880,S,U,S,D,FG
58,Beneteau Oceanis 58 ,2010,520000,S,U,S,D,FG
58,Beneteau 57 ,2003,467400,S,U,S,D,FG
58,Chantier Auroux Gaff Yawl ,1929,168264,S,U,S,D,W
58,Custom Cutter Sloop 61 ,1994,386384,S,U,S,D,FG
58,Del Pardogrand soleil ... ,1992,685520,S,U,S,D,FG
58,Jeanneau 57 ,2011,747840,S,U,S,D,FG
58,Jeanneau 57 ,2011,735376,S,U,S,D,FG
58,Jeanneau 57 ,2014,635539,S,U,S,D,FG
58,Jeanneau Sun Odyssey 53 DS ,2013,305368,S,U,S,D,FG
58,Laurent Giles58 ft Ber... ,1952,532400,S,U,S,D,W
58,Little Harbor ,1989,945000,S,U,S,D,FG
58,Moody 56 ,2006,628200,S,U,S,D,FG
58,Moody 56 ,2004,498560,S,U,S,D,FG
58,Mystic 57 (Oyster) ,2000,648128,S,U,S,D,FG
58,Nautor Swan 59 ,1991,560880,S,U,S,D,FG
58,Nautor Swan 59-011 ,1991,560880,S,U,S,D,FG
58,Sparkman & StephensOce... ,1971,685520,S,U,S,D,W
58,Tayana 58 Deck Salon ,2003,749900,S,U,S,D,FG
58,Wauquiez Pilot Saloon 55 ,2008,685520,S,U,S,D,FG
58,Wauquiez Pilot Saloon 55 ,2009,660592,S,U,S,D,FG
57,Beneteau 57 ,2006,423776,S,U,S,D,FG
57,Beneteau 57 ,2007,473632,S,U,S,D,FG
57,Bruce Roberts Custom 57 ,2013,125000,S,N,S,D,ST
